ID;Perioden;PrijsindexBestaandeKoopwoningen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;AantalVerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8;Year;Month
257;2010-03-01;113.1;-0.2;-3.9;11145;25.3;15.9;236230;2633;2010;03
259;2010-04-01;113.9;0.7;-2.5;11069;-0.7;9.9;241859;2677;2010;04
260;2010-05-01;113.1;-0.8;-2.5;9893;-10.6;-3.7;236799;2343;2010;05
261;2010-06-01;112.9;-0.1;-1.6;10929;10.5;10.2;241017;2634;2010;06
263;2010-07-01;113.6;0.6;-1.1;12240;12.0;-7.5;245245;3002;2010;07
264;2010-08-01;113.7;0.1;-0.4;10411;-14.9;8.8;242259;2522;2010;08
265;2010-09-01;112.9;-0.7;-0.8;9747;-6.4;-6.5;245706;2395;2010;09
267;2010-10-01;112.4;-0.4;-1.3;9950;2.1;-12.6;241580;2404;2010;10
268;2010-11-01;112.1;-0.3;-1.1;10079;1.3;1.1;234732;2366;2010;11
269;2010-12-01;111.8;-0.3;-0.9;14064;39.5;-9.0;234739;3301;2010;12
272;2011-01-01;111.6;-0.1;-1.2;8368;-40.5;8.6;240983;2017;2011;01
273;2011-02-01;111.2;-0.4;-1.9;9558;14.2;7.5;234444;2241;2011;02
274;2011-03-01;111.7;0.5;-1.3;10432;9.1;-6.4;244661;2552;2011;03
276;2011-04-01;111.2;-0.5;-2.4;10068;-3.5;-9.0;243245;2449;2011;04
277;2011-05-01;111.1;-0.1;-1.8;9915;-1.5;0.2;240276;2382;2011;05
278;2011-06-01;110.9;-0.2;-1.8;9549;-3.7;-12.6;241662;2308;2011;06
280;2011-07-01;111.0;0.1;-2.3;10433;9.3;-14.8;248424;2592;2011;07
281;2011-08-01;110.3;-0.6;-3.0;10009;-4.1;-3.9;241390;2416;2011;08
282;2011-09-01;109.4;-0.8;-3.1;10327;3.2;6.0;246538;2546;2011;09
284;2011-10-01;109.2;-0.2;-2.9;9453;-8.5;-5.0;237499;2245;2011;10
285;2011-11-01;108.4;-0.7;-3.3;9494;0.4;-5.8;232640;2209;2011;11
286;2011-12-01;107.2;-1.1;-4.1;13133;38.3;-6.6;230582;3028;2011;12
289;2012-01-01;107.6;0.3;-3.7;7082;-46.1;-15.4;241473;1710;2012;01
290;2012-02-01;107.4;-0.2;-3.4;7805;10.2;-18.3;237464;1853;2012;02
291;2012-03-01;105.8;-1.4;-5.3;9064;16.1;-13.1;230341;2088;2012;03
293;2012-04-01;105.0;-0.8;-5.6;8236;-9.1;-18.2;231130;1904;2012;04
294;2012-05-01;104.3;-0.6;-6.1;10182;23.6;2.7;228010;2322;2012;05
295;2012-06-01;105.3;1.0;-5.0;16210;59.2;69.8;240443;3898;2012;06
297;2012-07-01;101.2;-3.9;-8.8;7451;-54.0;-28.6;216721;1615;2012;07
298;2012-08-01;100.8;-0.4;-8.6;8384;12.5;-16.2;214075;1795;2012;08
299;2012-09-01;100.2;-0.6;-8.4;7143;-14.8;-30.8;216849;1549;2012;09
301;2012-10-01;99.9;-0.3;-8.5;8507;19.1;-10.0;214546;1825;2012;10
302;2012-11-01;100.5;0.6;-7.3;9833;15.6;3.6;220465;2168;2012;11
303;2012-12-01;99.8;-0.7;-6.9;17364;76.6;32.2;221887;3853;2012;12
306;2013-01-01;96.9;-2.9;-9.9;6260;-63.9;-11.6;206583;1293;2013;01
307;2013-02-01;98.1;1.2;-8.6;7897;26.2;1.2;210384;1661;2013;02
308;2013-03-01;98.2;0.2;-7.2;8933;13.1;-1.4;220430;1969;2013;03
310;2013-04-01;96.8;-1.5;-7.8;6554;-26.6;-20.4;214969;1409;2013;04
311;2013-05-01;95.5;-1.3;-8.4;8333;27.1;-18.2;211869;1766;2013;05
312;2013-06-01;95.0;-0.6;-9.8;7224;-13.3;-55.4;206114;1489;2013;06
314;2013-07-01;96.1;1.2;-5.1;9659;33.7;29.6;213967;2067;2013;07
315;2013-08-01;96.3;0.2;-4.5;9977;3.3;19.0;215092;2146;2013;08
316;2013-09-01;96.1;-0.2;-4.1;9289;-6.9;30.0;215283;2000;2013;09
318;2013-10-01;95.9;-0.2;-4.0;9929;6.9;16.7;213050;2115;2013;10
319;2013-11-01;95.5;-0.4;-5.0;10576;6.5;7.6;212126;2243;2013;11
320;2013-12-01;96.1;0.6;-3.8;15463;46.2;-10.9;215388;3331;2013;12
323;2014-01-01;96.4;0.4;-0.5;8905;-42.4;42.3;219530;1955;2014;01
324;2014-02-01;96.4;0.0;-1.7;10030;12.6;27.0;213822;2145;2014;02
325;2014-03-01;96.1;-0.3;-2.1;10028;0.0;12.3;214147;2147;2014;03
327;2014-04-01;96.9;0.8;0.1;10780;7.5;64.5;220136;2373;2014;04
328;2014-05-01;96.8;-0.1;1.4;11966;11.0;43.6;219607;2628;2014;05
329;2014-06-01;97.1;0.3;2.2;11328;-5.3;56.8;222301;2518;2014;06
331;2014-07-01;97.9;0.8;1.9;13883;22.6;43.7;226750;3148;2014;07
332;2014-08-01;97.9;0.1;1.7;12328;-11.2;23.6;225149;2776;2014;08
333;2014-09-01;97.7;-0.2;1.7;12949;5.0;39.4;223567;2895;2014;09
335;2014-10-01;98.0;0.3;2.2;14353;10.8;44.6;224795;3226;2014;10
336;2014-11-01;97.7;-0.3;2.3;11696;-18.5;10.6;220204;2576;2014;11
337;2014-12-01;97.9;0.2;2.0;25265;116.0;63.4;226646;5726;2014;12
340;2015-01-01;98.4;0.5;2.1;9437;-62.6;6.0;222800;2103;2015;01
341;2015-02-01;98.7;0.3;2.4;11697;23.9;16.6;216678;2534;2015;02
342;2015-03-01;98.8;0.1;2.7;13393;14.5;33.6;225024;3014;2015;03
344;2015-04-01;99.1;0.3;2.3;12748;-4.8;18.3;224376;2860;2015;04
345;2015-05-01;99.4;0.2;2.6;12827;0.6;7.2;228032;2925;2015;05
346;2015-06-01;99.6;0.3;2.6;15147;18.1;33.7;229381;3474;2015;06
348;2015-07-01;100.5;0.9;2.7;18422;21.6;32.7;232562;4284;2015;07
349;2015-08-01;100.4;-0.1;2.5;15863;-13.9;28.7;233485;3704;2015;08
350;2015-09-01;101.2;0.8;3.5;16324;2.9;26.1;233956;3819;2015;09
352;2015-10-01;101.4;0.2;3.4;16324;0.0;13.7;237796;3882;2015;10
353;2015-11-01;101.5;0.1;3.8;14545;-10.9;24.4;234610;3412;2015;11
354;2015-12-01;101.1;-0.4;3.2;21566;48.3;-14.6;233242;5030;2015;12
357;2016-01-01;102.4;1.3;4.1;11907;-44.8;26.2;238934;2845;2016;01
358;2016-02-01;102.5;0.0;3.8;14866;24.9;27.1;234830;3491;2016;02
359;2016-03-01;103.0;0.5;4.3;16124;8.5;20.4;235799;3802;2016;03
361;2016-04-01;103.2;0.2;4.2;16387;1.6;28.5;239522;3925;2016;04
362;2016-05-01;103.7;0.4;4.3;16066;-2.0;25.3;236730;3803;2016;05
363;2016-06-01;104.3;0.6;4.6;17862;11.2;17.9;242089;4324;2016;06
365;2016-07-01;105.5;1.2;4.9;19723;10.4;7.1;245980;4851;2016;07
366;2016-08-01;106.4;0.9;6.0;19975;1.3;25.9;249054;4975;2016;08
367;2016-09-01;107.2;0.8;5.9;21009;5.2;28.7;253498;5326;2016;09
369;2016-10-01;107.0;-0.2;5.6;17339;-17.5;6.2;247673;4294;2016;10
370;2016-11-01;107.5;0.5;6.0;18255;5.3;25.5;246819;4506;2016;11
371;2016-12-01;107.9;0.3;6.7;25280;38.5;17.2;246511;6232;2016;12
374;2017-01-01;108.9;1.0;6.4;16555;-34.5;39.0;258467;4279;2017;01
375;2017-02-01;109.3;0.3;6.7;17708;7.0;19.1;253388;4487;2017;02
376;2017-03-01;110.5;1.1;7.3;21648;22.3;34.3;258838;5603;2017;03
378;2017-04-01;110.9;0.3;7.4;16694;-22.9;1.9;256800;4287;2017;04
379;2017-05-01;111.7;0.8;7.8;19990;19.7;24.4;259615;5190;2017;05
380;2017-06-01;112.5;0.7;8.0;21686;8.5;21.4;264362;5733;2017;06
382;2017-07-01;113.5;0.9;7.6;19979;-7.9;1.3;264007;5275;2017;07
383;2017-08-01;114.6;1.0;7.8;20780;4.0;4.0;268452;5578;2017;08
384;2017-09-01;115.0;0.3;7.3;20632;-0.7;-1.8;269817;5567;2017;09
386;2017-10-01;115.8;0.7;8.2;20143;-2.4;16.2;269083;5420;2017;10
387;2017-11-01;116.4;0.5;8.2;19647;-2.5;7.6;267868;5263;2017;11
388;2017-12-01;116.8;0.4;8.2;26398;34.4;4.4;265122;6999;2017;12
391;2018-01-01;118.6;1.5;8.8;16035;-39.3;-3.1;276906;4440;2018;01
392;2018-02-01;119.7;1.0;9.5;16094;0.4;-9.1;275201;4429;2018;02
393;2018-03-01;120.1;0.3;8.6;19976;24.1;-7.7;281548;5624;2018;03
395;2018-04-01;120.6;0.4;8.8;16267;-18.6;-2.6;280027;4555;2018;04
396;2018-05-01;121.7;0.9;8.9;18237;12.1;-8.8;283945;5178;2018;05
397;2018-06-01;122.5;0.7;8.9;18426;1.0;-15.0;289399;5332;2018;06
399;2018-07-01;123.7;0.9;9.0;19580;6.3;-2.0;290731;5693;2018;07
400;2018-08-01;125.4;1.4;9.3;20892;6.7;0.5;294203;6146;2018;08
401;2018-09-01;125.7;0.3;9.3;16449;-21.3;-20.3;291218;4790;2018;09
403;2018-10-01;126.2;0.4;9.0;18809;14.3;-6.6;294050;5531;2018;10
404;2018-11-01;127.4;0.9;9.5;18292;-2.7;-6.9;297502;5442;2018;11
405;2018-12-01;126.6;-0.6;8.4;19434;6.2;-26.4;288356;5604;2018;12
408;2019-01-01;128.8;1.8;8.7;15125;-22.2;-5.7;302157;4570;2019;01
409;2019-02-01;128.7;-0.1;7.5;15470;2.3;-3.9;298717;4621;2019;02
410;2019-03-01;129.2;0.4;7.7;16836;8.8;-15.7;302845;5099;2019;03
412;2019-04-01;129.8;0.4;7.7;17303;2.8;6.4;302456;5233;2019;04
413;2019-05-01;130.4;0.4;7.2;19708;13.9;8.1;303240;5976;2019;05
414;2019-06-01;130.9;0.4;6.9;15495;-21.4;-15.9;301736;4675;2019;06
